"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5029311353,Kevin Göldner,I20121455,Bielefeld University,1,2022,2022,{JURA}
A5029350920,Clemens Bogedain,I186354981,University of Passau,1,2014,2014,{KritV}
A5029350920,Clemens Bogedain,I195460627,University of Aberdeen,1,2014,2014,{KritV}
A5029350920,Clemens Bogedain,I54009628,University of Bayreuth,1,2014,2014,{KritV}
A5029364680,Horatia Muir Watt,I205092303,Institut d'Etudes Politiques de Paris,1,2023,2023,{RabelsZ}
A5029402706,Claudia Keiser,I114112103,Leibniz University Hannover,1,2010,2010,{JR}
A5029430265,Matthias Mittag,I2802363545,Federal Ministry of Justice,1,2013,2013,{JR}
A5029430403,Lando Kirchmair,I182212641,University of Salzburg,1,2021,2021,{EuR}
A5029430403,Lando Kirchmair,I2802135426,Leibniz Institute of European History,1,2021,2021,{EuR}
A5029430403,Lando Kirchmair,I40527276,Universität der Bundeswehr München,1,2021,2021,"{EuR,EuR}"
A5029451399,Jens Weyd,I4210152756,"The Bavarian Ministry of the Interior, for Building and Transport",1,2013,2013,{JURA}
A5029456481,Alexander Pfab,I96195991,German University of Administrative Sciences,1,2010,2010,{JURA}
A5029459811,Jannik Otto,I44260953,Heinrich Heine University Düsseldorf,1,2019,2019,{ZGR}
A5029539947,Dean Spielmann,I114090438,Goethe University Frankfurt,1,2006,2006,{KritV}
A5029539947,Dean Spielmann,I16718484,Hess (United States),1,2017,2017,{KritV}
A5029555193,Christian Brand,I4210138844,Klinikum Konstanz,2,2009,2011,"{JR,ZStW}"
A5029563010,Jörg Eisele,I2802442800,Deutsches Forschungsnetz,2,2019,2023,"{JR,ZStW}"
A5029563010,Jörg Eisele,I8087733,University of Tübingen,4,2018,2023,"{JR,JR,JR,ZStW}"
A5029563928,Harald Kleinschmidt,I146399215,University of Tsukuba,1,2023,2023,{ZRG}
A5029588464,Johann Bizer,I1317578790,Federal Office for Information Security,1,1990,1990,{KJ}
A5029649623,Richard Backhaus,I4210121101,München Klinik,1,2019,2019,{AG}
A5029649623,Richard Backhaus,I8087733,University of Tübingen,1,2019,2019,{AG}
A5029649623,Richard Backhaus,I8204097,Ludwig-Maximilians-Universität München,1,2019,2019,{AG}
A5029651035,Volker Steffahn,I90523175,Bucerius Law School,1,2017,2017,{JURA}
A5029655813,Michael Stolleis,I11074976,"Stiftung Wissenschaft und Politik, German Institute for International and Security Affairs",1,2005,2005,{KritV}
A5029655813,Michael Stolleis,I114090438,Goethe University Frankfurt,1,2005,2005,{KritV}
A5029655813,Michael Stolleis,I135140700,University of Bonn,1,2005,2005,{KritV}
A5029655813,Michael Stolleis,I149899117,Max Planck Society,11,2000,2018,"{JZ,ZRG,AöR,JZ,AöR,JZ,AöR,JZ,DVBI,JZ,KritV}"
A5029655813,Michael Stolleis,I4210095813,Max Planck Institute for Legal History and Legal Theory,12,2000,2020,"{JZ,ZRG,AöR,JZ,ZRG,AöR,JZ,AöR,JZ,DVBI,JZ,KritV}"
A5029655813,Michael Stolleis,I4210128066,Medizinisch Wissenschaftliche Verlagsgesellschaft (Germany),1,2005,2005,{KritV}
A5029655813,Michael Stolleis,I4210149867,Institut für Pflanzenkultur (Germany),1,2005,2005,{KritV}
A5029687617,Torsten Kindt,I177802217,University of Mannheim,1,2020,2020,{JURA}
A5029723548,Ferdinand Weber,I74656192,University of Göttingen,1,2015,2015,{EuR}
A5029743130,Werner Beulke,I186354981,University of Passau,3,2005,2014,"{JR,JR,JURA}"
A5029752516,Julia Lange,I155765044,University of Hildesheim,1,2006,2006,{KJ}
A5029752516,Julia Lange,I180437899,University of Bremen,1,2006,2006,{KJ}
A5029752516,Julia Lange,I90523175,Bucerius Law School,1,2006,2006,{KJ}
A5029754820,George Gallwey,I4210141359,Max Planck Institute for Comparative Public Law and International Law,1,2021,2021,{ZaoRV}
A5029792182,Klaus Meßerschmidt,I39343248,Humboldt-Universität zu Berlin,1,2016,2016,{JURA}
A5029795752,Indra Spiecker,I102335020,Karlsruhe Institute of Technology,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I106157433,University of Kassel,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I114090438,Goethe University Frankfurt,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I114112103,Leibniz University Hannover,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I149899117,Max Planck Society,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I154338468,University of Fribourg,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I184565670,Georgetown University,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I1850255,University of Basel,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I22465464,University of Münster,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I2800534741,Directorate-General for Energy,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I39343248,Humboldt-Universität zu Berlin,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I4210116730,Universitätsmedizin Göttingen,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I4210134579,Dana-Farber/Harvard Cancer Center,1,2023,2023,{CR}
A5029795752,Indra Spiecker,I4210162437,Landesinstitut für Lehrerbildung und Schulentwicklung,1,2021,2021,{CR}
A5029795752,Indra Spiecker,I51556381,University of Virginia,1,2023,2023,{CR}
