title,issn,alternativeTitle
Internationales Handbuch - Länder aktuell,"09349685,09349685","Staaten der Welt von A-Z, Internat. Zusammenschlüsse u. Organisationen; Archiv für publizistische Arbeit. Internationales Handbuch - Länder aktuell ( Haupttitel früher ); Internationales Handbuch ( Sachl. Benennung anfangs )"
Publikation,00333964,Alternatives Börsen-Communiqué; ABC
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,29423562,ZaöRV; HJIL
Der Beamte in Baden-Württemberg,01720678,
IÖD-Mitteilungen,03083136,
Zeitschrift für europarechtliche Studien,"29423589,29423589",ZEuS
Archiv für schweizerisches Abgaberecht,14223481,ASA; neue Folge der Vierteljahrsschrift für schweizerisches Abgaberecht ( Zusatz anfangs )
Berichte der Deutschen Gesellschaft für Völkerrecht,"04172094,04172094",
"Landesrecht Freistaat Sachsen, Fundstellennachweis",14341891,Landesrecht Freistaat Sachsen / Fundstellennachweis; Fundstellennachweis Landesrecht Freistaat Sachsen
"Juris-PraxisReport, Bankrecht","18667597,18667597",Juris-PraxisReport / Bank- und Kapitalmarktrecht; PraxisReport / Bank- und Kapitalmarktrecht; Juris-Praxis-Report; jurisPR-BKR; Juris-PraxisReport. Bank- und Kapitalmarktrecht ( Haupttitel früher )
Handbuch der Justiz,"00730092,00730092",
Der Versorgungsbeamte,03403289,
Deutsche Rechtsprechung,"0012060X,0012060X",Entscheidungsauszüge und Aufsatzhinweise für die juristische Praxis ( Zusatz anfangs )
Schweizer Jahrbuch des öffentlichen Lebens,00807249,Publicus
"Mitteilungen / Arbeitsgemeinschaft für Juristisches Bibliotheks- und Dokumentationswesen, AjBD",03000990,Mitteilungen der Arbeitsgemeinschaft für Juristisches Bibliotheks- und Dokumentationswesen ( Hauptsacht. 2.1972 - 8.1978 )
"StiftungsBrief Steuern, Verwaltung, Recht","18677894,18677894",SB; Sonderausgabe; StiftungsBrief
Recht der Landwirtschaft,"04861469,04861469",RdL
Mitteilungen der Internationalen Kriminalistischen Vereinigung,"23654694,23654694",Mitteilungen ( Hauptsacht. teils )
Rundschau der evangelischen Arbeitnehmer,"1439801X,1439801X","Zeitschrift des Bundesverbandes Evangelischer Arbeitnehmerorganisationen in der Bundesrepublik Deutschland, BVEA ( Zusatz anfangs )"
MenschenRechtsMagazin,"14342820,14342820",Menschen-Rechts-Magazin; MRM
International journal of legal medicine,14371596,Legal medicine; Deutsche Zeitschrift für die gesamte gerichtliche Medizin ( Hauptsacht. 1.1922 - 66.1969 ); Zeitschrift für Rechtsmedizin ( Hauptsacht. 67.1970 - 103.1989/90 )
Wetzlarische Beyträge zu einer pragmatischen allgemeinen Rechtsgelehrsamkeit,"2192306X,2192306X",Joh. Ulr. Freyherrn von Cramer ... Wetzlarische Beyträge aus der Reichs-Praxi dasigen höchsten Reichs-Gerichts; Johann Ulrich Freyherrn von Cramer ... Wetzlarische Beyträge aus der Reichs-Praxi dasigen höchsten Reichs-Gerichts; Joh. Ulr. Freyherrn von Cramer ... Wetzlarische Beyträge aus der Reichs-Praxi dasigen höchsten Reichs-Gerichts ( Auf d. Bd.-Titelbl. )
Allgemeine juristische Bibliothek,"25100181,25100181",
Rechtsmedizin,"14345196,14345196",
"Juris-PraxisReport, Handels- und Gesellschaftsrecht","18667600,18667600",Juris-PraxisReport / Handels- und Gesellschaftsrecht; PraxisReport / Handels- und Gesellschaftsrecht; Juris-Praxis-Report; jurisPR-HaGesR
"Juris-PraxisReport, IT-Recht","1861986X,1861986X",Juris-PraxisReport / IT-Recht; PraxisReport / IT-Recht; Juris-Praxis-Report; jurisPR-ITR
Des Rheinischen Reichsvikariats-Hofgerichts Conclusa,"27492753,27492753",Conclusa
Review of comparative law,08608156,"The review of comparative law ( Hauptsacht. anfangs ); dedicated to law, history of law, philosophy of law, canon law and church-state relations, criminology legal medicine ( Zusatz anfangs )"
Sammlung arbeitsrechtlicher Entscheidungen,21990220,SAE
Schmerzensgeldbeträge,05819792,
Amtliche Sammlung des Bundesrechts,14202484,
Magazin für Rechtsgelehrte und Geschichtforscher,27026493,Magazin für Rechtsgelehrte und Geschichtsforscher ( Hauptsacht. d. Mikrofiche-Ausg. )
"OLG-Report Celle, Hamburg, Schleswig, Oldenburg, Braunschweig, Bremen",09454195,"Report; OLG-Report Celle, Braunschweig, Oldenburg ( Hauptsacht. anfangs ); Schnelldienst zur Zivilrechtsprechung der drei Oberlandesgerichte ( Zusatz anfangs )"
Der Amtsvormund,00032336,
Bayerische Rechtssammlung,"01760661,01760661",Bayerische Rechtssammlung / Fortführungsnachweis; Fortführungsnachweis zur Bayerischen Rechtssammlung ( Vorlageform des Hauptsacht. teils )
"Bundesanzeiger, Zentralhandelsregister-Beilage zum Bundesanzeiger",03447731,Bundesanzeiger / Zentralhandelsregister-Beilage; Bundesanzeiger / Handelsregister; Handelsregister ( Sachl. Benennung der Mikrofiche-Ausg. )
Iurratio,"1867660X,1867660X",RefGuide; Jurratio; die Zeitschrift für stud. iur. ( Zusatz anfangs ); die Zeitschrift für stud. iur. und junge Juristen ( Zusatz früher )
Des teutschen Reichs neuester Staats-Spiegel,"25099159,25099159","Collectio nova continuata actorum publicorum I. R. G. oder Sammlung derer im H. R. Reich zum Vorschein gekommenen Deductionen und andern in das Jus Publicum I. R. G. einschlagenden Schriften, wie solche unter dem Titul: des teutschen Reichs neuester Staatsspiegel, dem Druck überlassen"
Allgemeine juristische Bibliothek,"25100173,25100173",
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 4. 1: Rechtspflege. Strafvollzug. Demographische und kriminologische Merkmale der Strafgefangenen : am ..",09454381,
Bundesblatt / Schweiz,14202476,Schweizerische Fabrik- und Handelsmarken; Marques de fabrique et de commerce anglaises; Deutsche Fabrik- und Handelsmarken; Schweizerisches Bundesblatt; Bundesblatt der Schweizerischen Eidgenossenschaft ( Hauptsacht. bis 129.1977 ); BBL ( Nebent. ab 150.1998 )
Zeitschrift für die Anwaltspraxis,09367292,ZAP
Amtsblatt für den Stadt- und Landkreis Heilbronn,0003231X,"Amtliche Bekanntmachungen für die Stadt und den Landkreis Heilbronn ( Hauptsacht. bis 1946,10 ); Military Government gazette für die Stadt und den Landkreis Heilbronn ( Hauptsacht. 1946,11-18 )"
"Staatshandbuch, Nordrhein-Westfalen : Handbuch der Landes- und Kommunalverwaltung mit Aufgabenbeschreibungen und Adressen","18631169,18631169",Handbuch der Landes- und Kommunalverwaltung mit Aufgabenbeschreibungen und Adressen; Staatshandbuch die Bundesrepublik Deutschland
"Entscheidungen des Schweizerischen Bundesgerichts, 4: Strafrecht und Strafvollzug = Droit pénal, exécution des peines = Diritto penale, esecuzione delle pene","16626966,01723391,22960112",Entscheidungen des Schweizerischen Bundesgerichts / 4; Entscheidungen des Schweizerischen Bundesgerichtes ( Hauptsacht. anfangs ); Strafrechtspflege ( Sachl. Benennung anfangs ); Strafrecht ( Sachl. Benennung  teils ); Administration de la justice pénale ( Parallelsacht. anfangs ); Droit pénal ( Parallelsacht. teils )
"Schriftenreihe des Max-Planck-Instituts für Ausländisches und Internationales Strafrecht, S: Strafrechtliche Forschungsberichte",18600093,"Schriftenreihe des Max-Planck-Instituts für Ausländisches und Internationales Strafrecht / S; Research series of the Max Planck Institute for Foreign and International Criminal Law. S, Reports on research in criminal law"
Johann Jacob Mosers vermischte Berichte von Religions-Sachen,"25099167,25099167",Mosers vermischte Berichte von Religions-Sachen; Vermischte Berichte von Religions-Sachen
Das Gartenamt,00164739,Stadt und Grün
Teutsche Staatskanzlei,"21926514,21926514",Deutsche Staatskanzlei; Teutsche Staatskanzley ( Hauptsacht. bis 39.1800 ); Teutsche Staatskanzley ( Hauptsacht. d. Mikrofiche-Ausg. )
"Recht, Automobil, Wirtschaft","21950261,21950261",RAW
Behörden-Spiegel,14378337,"unabhängige Zeitung für den Öffentlichen Dienst; Deutschlands größte Zeitung für Bund, Länder und Kommunen; Fakten, Hintergründe und Analysen für den Öffentlichen Dienst"
Recht in Japan,03402746,
Die Kriminalprävention,14340585,
Der Gesellschafter,02506440,GesRZ; GesRZ-Spezial; Zeitschrift für Gesellschaftsrecht ( Zusatz anfangs )
Deutsches Verwaltungsblatt,"23660651,23660651",DVBL; Wolters Kluwer Bibliothek
Film und Recht,00151440,Zeitschrift für Urheber- und Medienrecht ( Nebent. 28.1984 )
Schumann-Studien,08632340,
Jahrbuch für afrikanisches Recht,07222181,Yearbook of African law; Annuaire de droit africain
Die Mitarbeitervertretung,"09398198,09398198",ZMV; ZMV
GEMA-Nachrichten,"09460055,09460055",Nachrichten ( Hauptsacht. teils )
"Blätter für Steuerrecht, Sozialversicherung und Arbeitsrecht",00064475,
"Tätigkeitsbericht / BAST, Bundesanstalt für Straßenwesen","05251710,05251710",BAST-Tätigkeitsbericht ( Nebent. 1963/65 - 1978/80 )
Datenverarbeitung im Recht,03012980,DVR
Die Beiträge zur Sozial- und Arbeitslosenversicherung,03420825,Rechtsprechung; Die Beiträge zur Sozial- und Arbeitslosenversicherung / Rechtsprechung
Planungsbüro professionell,"21956758,21956758","PBP; Honorargestaltung, Architektenrecht, VOB, Planungsleistungen, Unternehmensführung, Auftragsbeschaffung"
Die Stiftung,"1864922X,1864922X",
Rheinisches Archiv für Zivil- und Strafrecht,"1866038X,1866038X",Rheinisches Archiv; Archiv für Zivil- und Strafrecht der Königl.-Preuß. Rheinprovinz ( Auf d. Jg.-Titelbl. ); Rheinisches Archiv für Zivil- und Strafrecht der Königl.-Preuß. Rheinprovinz ( Hauptsacht. bis 5=107.1911 ); Rheinisches Archiv für das Zivil- und Strafrecht der Königlich-Preußischen Rheinprovinzen ( Nebent. anfangs ); Archiv für das Zivil- und Strafrecht ( Nebent. später )
Zeitschrift für Kindschaftsrecht und Jugendhilfe,18616631,ZKJ
Anwalt und Kanzlei,"21965714,21965714","Sonderausgabe; AK; aktuelle Informationen zu Wirtschaftlichkeit, Organisation und Marketing"
Praxis internationale Steuerberatung,"14388375,14388375",Musterfälle zum internationalen Steuerrecht; PIStB
Die Rechtsanwalts- und Notarfachangestellten,"16189442,16189442",Themenspecial; RENO; Zeitschrift für Aus- und Weiterbildung ( Zusatz anfangs )
Verfassung und Recht in Übersee,"29419603,29419603","VRÜ; WCL; Law and politics in Africa, Asia and Latin America; Vierteljahresschr. für Fragen d. Verfassungs- u. Rechtsentwicklung d. Staaten Asiens, Afrikas u. Lateinamerikas"
Der Gerichtssaal,09367438,"Zeitschrift für volkstümliches Recht; Zeitschrift für volkstümliches Recht und wissenschaftliche Praxis; Zeitschrift für Strafrecht und Strafprozeß; Zeitschrift für Strafrecht, Strafprozeß, Gerichtliche Medizin, Gefängnißkunde und ausländische Literatur; Zeitschrift für Strafrecht, Strafproceß, Gerichtliche Medicin, Gefängnißkunde und die gesammte Strafrechtsliteratur; Zeitschrift für Strafrecht, Strafprozeß und die ergänzenden Disziplinen; Repertorium über die ... ersten Jahrgänge der Zeitschrift Gerichts-Saal ( Hauptsacht. Index 1/5.1849/53[?] )"
Recht der Jugend und des Bildungswesens,"23666749,23666749",RdJB
Archiv für Polizeigeschichte,"09399755,09399755",
Der Grundbesitz,"07226918,07226918",
Arbeit und Recht,"29420598,29420598",AuR; ArbuR; Arbeit + Recht ( Hauptsacht. 41.1993 - 47.1999 ); Zeitschrift für Arbeitsrechtspraxis ( Zusatz bis 57.2009 )
Rechtsgeschichte,"21959617,21959617",Rg; Zeitschrift des Max-Planck-Instituts für Europäische Rechtsgeschichte; journal of the Max Planck Institute for European Legal History
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,"23646071,23646071",KritV
B + P,"03411044,03411044",Zeitschrift für Betrieb und Personal; B und P
Bayerisches Justizministerialblatt,"18679145,18679145",JMBl
Forum Arbeits- und Sozialrecht,0936028X,FAS
Bereitschaftspolizei heute,07236123,
RV aktuell,"21993270,21993270",RVaktuell; amtliches Mitteilungsblatt der Deutschen Rentenversicherung ( Zusatz anfangs )
Mandat im Blickpunkt,"18690440,18690440","MBP; praxisnahe Informationen für Mitarbeiter in der Steuerkanzlei; Mandatsbearbeitung professionell ( Nebent. 2009,9 )"
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 3: Rechtspflege. Strafverfolgung","07224966,07224966",
Grafenrheinfelder Rundschau,"18658261,18658261",
Fundstellen- und Inhaltsnachweis Arbeits- und Sozialrecht,01791737,Arbeits- und Sozialrecht; Fundstellen- und Inhaltsnachweis Arbeits- und Sozialrecht einschließlich des Überleitungsrechts für die neuen Bundesländer ( Hauptsacht. 1991 )
Online,03401545,
Die hessische Polizei,01712675,Motor und Polizei
Zeitschrift für Strafvollzug,05139139,
"Deutsche Polizei, Ausgabe Berlin","01706411,01706411","Deutsche Polizei <Hilden> / Ausgabe Berlin; Deutsche Polizei / Landesbezirk Berlin; Zeitschrift der Gewerkschaft der Polizei; Zeitschrift der Gewerkschaft der Polizei; Die Polizei in Wort und Bild ( Hauptsacht. 1.1951,1-6(Dez.) ); Organ der Gewerkschaft der Polizei ( Zusatz bis 1965 ); Fachzeitschrift und Organ der Gewerkschaft der Polizei ( Nebent. ab 1986 ); Landesbezirk Berlin ( Sachl. Benennung teils )"
Archiv für Presserecht,09313281,"AfP; Archiv für Presserechtswesen ( Hauptsacht. 1.1953,Dez. )"
"Statistische Berichte Niedersachsen, A. III. 1. AIII2 - j: Wanderungen",14306069,
Der öffentliche Dienst an Rhein und Ruhr,01720716,"Monatszeitschrift des Deutschen Beamtenbundes, Landesbund Nordrhein-Westfalen"
Vergabe-Fokus,"2363863X,2363863X",VF; Vergabe Fokus; VergabeFokus
Working paper / Bundesamt für Migration und Flüchtlinge,"18654770,18654770",Working paper der Nationalen Kontakstelle des EMN und der Forschungsgruppe des Bundesamtes ( Hauptsacht. teils ); Working paper ... der Forschungsgruppe des Bundesamtes ( Hauptsacht. teils ); WorkingPaper ( Hauptsacht. teils )
Mitteilungen der Kriminalbiologischen Gesellschaft,0172942X,Mitteilungen über die Tagung der Kriminalbiologischen Gesellschaft; Arbeitstagung der Kriminalbiologischen Gesellschaft
ZDF-WISO-Magazin,0945781X,WISO-Magazin; ZDF-Magazin WISO ( Hauptsacht. anfangs )
GoingPublic,"14353474,14353474",Going-public; Going public; Das Kapitalmarktmagazin; GoingPublic / Special; GoingPublic / Sonderbeilage; GoingPublic / Sonderausgabe; GoingPublic / Special Österreich; GoingPublic / Special Schweiz; Special listing abroad
Recht so!,"18617174,18617174",
Verfügungen und Mitteilungen des Ministeriums für Kultur,02325675,
Internationales Handelsrecht,"21939527,21939527",IHR
Allgemeine preußische Zeitung,"26283522,26283522",Die neuen ständischen Gesetze Preußens; Thronrede vom 11. April 1847
"Europarecht, Beiheft",14355078,Europarecht <Baden-Baden> / Beiheft; EuR
Europarecht,"29423198,29423198",EuR
"Polizeispiegel, Berlin","07231814,07231814","Fachorgan der Deutschen Polizeigewerkschaft im Deutschen Beamtenbund; Kurier für die Polizei des Landes ... ; Fachorgan der Polizeigewerkschaft im Deutschen Beamtenbund, Landesverband ... ( Zusatz anfangs ); Ausg. Berlin ( Sachl. Benennung d. UR anfangs )"
Geschäftsbericht,0525549X,
IFSt-Schrift,"27492117,27492117",
Studien zum ausländischen und internationalen Privatrecht,"07201141,07201141",StudIPR
Juristenzeitung,"18687067,18687067",JZ
GPR,"23647213,21939519,23647213,21939519","Zeitschrift für das Privatrecht der Europäischen Union; European Union private law review; Revuè de droit privé de l'Union européenne; Zeitschrift für Gemeinschaftsprivatrecht ( Zusatz bis 10.2013,1 )"
"Deutsche Polizei, Ausgabe Niedersachsen","01706454,01706454",Deutsche Polizei <Hilden> / Ausgabe Niedersachsen; Landesjournal Niedersachsen; Organ der Gewerkschaft der Polizei
Journal of consumer protection and food safety,"16615751,16615751",J. Verb. Lebenm.; JVL; JCF; Journal für Verbraucherschutz und Lebensmittelsicherheit ( Haupttitel 2006-2016 )
AfP,"23660945,23660945",Zeitschrift für das gesamte Medienrecht; Archiv für Presserecht; Zeitschrift für Medien- und Kommunikationsrecht
Außenwirtschaftsrecht,09373438,
Recht gegen rechts,2748615X,Recht gegen rechts Report; Recht-Gegen-Rechts-Report
Zeitschrift für Luftrecht,01749412,Vierteljahresschrift der Forschungsstelle für Luftrecht an der Univ. Köln ( Zusatz bis 4.1955 )
Betriebsrat kompakt,"18617425,18617425","erfolgreiche Betriebsratsarbeit - kompetent, rechtssicher, lösungsorientiert"
Stadt und Gemeinde,05617758,20 Jahre DDR; Zwanzig Jahre DDR
Erbrecht effektiv,"16119533,16119533",EE; Aktueller Informationsdienst für das erbrechtliche Mandat ; EE ( Zusatz anfangs )
Zeitschrift für öffentliches Recht,16137663,ZÖR; Austrian journal of public and international law; Journal of public law
Amnesty-Journal,"21994587,21994587",Das Magazin für die Menschenrechte
Jahresbericht der Rheinisch-Westfälischen Gefängnis-Gesellschaft,27003361,Jahresbericht der Rheinisch-Westphälischen Gefängnis-Gesellschaft ( Hauptsacht. teils ); Jahresbericht der Rheinisch-Westfälischen Gefängnis-Gesellschaft über das Vereinsjahr ... ( Hauptsacht. teils ); Jahresbericht der Rheinisch-Westfälischen Gefängniß-Gesellschaft über das Vereinsjahr ... ( Hauptsacht. teils )
Pfälzer Bauer,00316660,Wochenzeitung für Landwirtschaft u. Weinbau; Pfälzische Bauern- und Winzerschaft; Rundschreibendienst für die Mitglieder der Pfälzischen Bauern- und Winzerschaft
Die Arbeit,00037605,"GLB-Magazin; Das Magazin des Gewerkschaftlichen Linksblocks; Zeitschrift für Sozialpolitik, Wirtschaft und Betrieb ( Zusatz anfangs ); Organ der Fraktion der Gewerkschaftlichen Einheit ( Zusatz früher ); Organ der Fraktion der Gewerkschaftlichen Einheit ( Zusatz teils ); Monatsmagazin der Fraktion Gewerkschaftlicher Linksblock im ÖGB ( Zusatz teils ); das Monatsmagazin des GLB ( Zusatz teils )"
Zeitschrift für Menschenrechte,"27494845,27494845",Menschenrechte; Zfmr
Aktuelles aus dem Steuer- und Wirtschaftsrecht,"18606423,18606423",AStW; AStW
Hatályos magyar jogszabályok,08655774,Módosított jogszabály száma
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung","23044861,23044861",Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Germanistische Abteilung; ZRG GA
Gesetze und Verordnungen der Freien und Hansestadt Hamburg,"04401492,04401492",
Betriebs-Berater,"09470581,09470581","Zeitschrift für Recht und Wirtschaft; Zeitschrift für Recht und Wirtschaft; Wirtschaftsrecht, Steuerrecht, Bilanzrecht und Wirtschaftsprüfung, Arbeits- und Sozialrecht; Betriebs-Berater auf CD-ROM ( Nebent. bis Ed. 33.1991/2010 ); Betriebs-Berater auf DVD ( Nebent. ab Ed. 34.1991/2011 ); das intelligente Archiv ( Zusatz anfangs )"
Der Vermieter-Brief,"14319055,14319055",
"Amtsblatt der Europäischen Gemeinschaften, Anhang zum Amtsblatt der Europäischen Gemeinschaften, Jahressachregister alphabetisch und methodologisch",02557339,Sachregister und Dokumentarverzeichnis ( Sachl. Benennung 1968 ); Jahressachregister ... alphabetisch und methodologisch ( Sachl. Benennung 1969 - 1971 )
"Amtsblatt der Europäischen Gemeinschaften, Register zum Amtsblatt der Europäischen Gemeinschaften, Jahresregister : L C",02557339,Alphabetisches Sachregister und Dokumentar-verzeichnis ( Sachl. Benennung 1978 ); L C S ( Zusatz d. 2. OG 1978 - 1980 )
Sozialrecht aktuell,14347261,Materialien zur Sozialberatung ( Zusatz bis 8.2004 )
Entscheidungen des Oberverwaltungsgerichts Berlin,04055179,
Juristenzeitung,00226882,JZ
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Romanistische Abteilung",23044934,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Romanistische Abteilung; ZRG RA
"Deutsche Polizei, Ausgabe Bayern","0170639X,0170639X",Deutsche Polizei <Hilden> / Ausgabe Bayern; Organ der Gewerkschaft der Polizei; Organ der Gewerkschaft der Polizei
Amtsblatt für die Stadt Eberswalde,14350998,Eberswalder Monatsblatt; Eberswalder Monatsblatt
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,14391589,DZWir; Wirtschafts- und Insolvenzrecht
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Kanonistische Abteilung","23044896,23044896",Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Kanonistische Abteilung; ZRG KA
Zahlen-Fibel / Institut für Arbeitsmarkt- und Berufsforschung d. Bundesanstalt für Arbeit (IAB),"0932058X,0932058X",Beiträge zur Arbeitsmarkt- und Berufsforschung / 101
Die Fortbildung,"04270207,01739042",Die Fortbildung <Bochum>; VWA-Nachrichten
Entscheidungen der Finanzgerichte,"04212991,04212991",EFG; Gesammelte Mitteilungen
Reise-Recht aktuell,"21939535,21939535",RRa
Berliner Monatshefte,01748262,
Wirtschaft und Statistik,16192907,WISTA
Die Sozialverwaltung,"18663850,18663850",
Die Wirtschafts- und Steuerhefte,"07223358,07223358",
Zeitschrift für die gesamte Versicherungswissenschaft,"18659748,18659748",German journal of risk and insurance
ArbR,10225625,Mitteilungen des Instituts für Schweizerisches Arbeitsrecht
Preußischer Staats-Anzeiger,"26283379,26283379",Sach- und Personen-Register zum Preußischen Staats-Anzeiger für das Jahr …
Sächsisches Amtsblatt,09469966,
"Osteuropa, Osteuropa-Recht","00306444,00306444",Osteuropa-Recht; Gegenwartsfragen aus den Rechten des Ostens ( Zusatz anfangs )
"Bundesanzeiger, [Beilage]","07206100,07206100",Bundesanzeiger / Beilagen; Beilagen ( Sachl. Benennung d. Mikrofiche-Ausg. )
Städte- und Gemeinderat,03426106,Unsere Stadt; Messeforum im Städte- u. Gemeinderat
Zeitschrift für das gesamte Insolvenzrecht,"16158032,16158032",ZInsO; Insolvenzrecht
Österreichisches Archiv für Kirchenrecht,00299820,
Fortbildung und Praxis,"00717835,00717835",
Sammlung arbeitsrechtlicher Entscheidungen,00489069,SAE
Schriftenreihe des Deutschen Nationalkomitees für Denkmalschutz,07235747,
Das Staatsarchiv,00286427,Sammlung der officiellen Actenstücke zur Geschichte der Gegenwart ( Zusatz anfangs )
Umsatzsteuer-Handausgabe,"01786709,01786709","(Mehrwertsteuer) ( 1. Zusatz anfangs ); mit den Durchführungsverordnungen, BMF-Erlassen und -Schreiben, Ländererlassen, Tagungsentscheidungen, OFD-Verfügungen sowie der Rechtsprechung und umsatzsteuerrechtlichen Nebengesetzen ( 2. Zusatz anfangs )"
Computer und Arbeit,18638511,CuA; IT-Wissen für Betriebs- und Personalräte; vernetztes Wissen für Betriebs- und Personalräte ( Zusatz bis 2012 )
"Haus & Grund, Rheinland-Pfalz / Herausgeber: Landesverband der Haus-, Wohnungs- und Grundeigentümer von Rheinland-Pfalz e. V","09435344,09435344",Haus und Grund
NWB,00283460,NWB-Steuer- und Wirtschaftsrecht; NWB / Beilage
Innenpolitik,01794108,
Der Steuerzahler,"04909690,04909690","Der Steuerzahler / Sondermagazin; Mitteilungsorgan des Bundes der Steuerzahler in Baden, Bayern, Groß-Berlin, Hamburg und Schleswig-Holstein, Hessen, Niedersachsen und Bremen, Nordrhein-Westfalen, Rheinland-Pfalz, Württemberg-Baden, Württemberg-Hohenzollern ( Zusatz anfangs )"
Monatsschrift für Kriminologie und Strafrechtsreform,"00269301,00269301",MSchKrim; MschrKrim
Die Steuerfachangestellten,"14331845,14331845",STFA; STFA  : Zeitschrift für Aus- und Weiterbildung
Rechtsphilosophie,"29423341,29423341",RphZ
Unternehmensjurist,21921733,"BUJ-Sonderedition; Magazin für Mitarbeiterinnen und Mitarbeiter in Rechtsabteilungen; Under construction ( Haupttitel 2022, Ausgabe 03 (Mai/Juni 2022) )"
Rechtsprechung des Bundesgerichtshofs in Zivilsachen,04357132,Rechtsprechung des BGH in Zivilsachen
"Rechenschaftsbericht des Verbandes der Heimkehrer, Kriegsgefangenen und Vermißtenangehörigen Deutschlands e.V",0506662X,Unser Weg; Ein Rechenschaftsbericht ( Hauptsacht. anfangs ); Ein Rechenschaftsbericht ( Nebent. teils )
Recht & Praxis der Rehabilitation,"21983127,21983127",Recht und Praxis der Rehabilitation; RP Reha
Informationsbrief,21921784,Informationsbrief der Sektion Rechtssoziologie in der Deutschen Gesellschaft für Soziologie ( Hauptsacht. teils )
Der Öffentliche Dienst,00298565,DÖD; Fachzeitschrift für Angehörige des öffentlichen Dienstes ( Zusatz bis 55.2002 )
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,16127056,DZWir; Wirtschafts- und Insolvenzrecht
"Polizeikalender, [Gesamtausgabe]",01713051,Handbuch und Nachschlagewerk für den Polizeibediensteten; Polizei-Kalender ( Hauptsacht. anfangs teils ); Gesamtausgabe ( Anfangs teils mit sachl. Benennung )
"Deutsche Polizei, Ausgabe Hessen","01706446,01706446",Deutsche Polizei <Hilden> / Ausgabe Hessen; Deutsche Polizei <Hilden> / Hessen; Organ der Gewerkschaft der Polizei; Hessen ( Sachl. Benennung 4.1952 )
Rote Robe,03447960,
ZIP,"07239416,01728245,07208170","Zeitschrift für Wirtschaftsrecht; ZIP / Beilage; ZIP aktuell; ZIP Report; ZIP-Report; Insolvenzrecht ( Hauptsacht. 1.1980,1-7 ); Zeitschrift für die gesamte Insolvenzpraxis ( Zusatz 1.1980,1-7 ); Zeitschrift für Wirtschaftsrecht und Insolvenzpraxis ( Zusatz 1.1980,8 - 3.1982 )"
