*nodes
Id;Label;Type
670;Frank Schorkopf;author
671;Ingeborg Puppe;author
672;Thomas Jaeger;author
673;Oliver Raabe;author
674;Lara Hausknecht;author
675;Hauke Brettel;author
676;Jan Schürnbrand;author
677;Markus Abraham;author
678;Benjamin Raue;author
679;Jörg Benedict;author
680;Kent D. Lerch;author
681;Ralph Ingelfinger;author
682;Gerhard Dannecker;author
683;Vanessa Grifo;author
684;Klaus-Peter Jünemann;author
685;Michael Müller;author
686;Gerhard Fezer;author
687;M. Scheer;author
688;Michael Brockmann;author
689;Ulrike Babusiaux;author
690;J. Rottmann;author
691;Michael Heese;author
692;Mathias Rohe;author
693;Walter Grasnick;author
694;Jürgen Kohler;author
695;Noah Drautzburg;author
696;Abteilung Zivilrecht;author
697;F. Lange;author
698;Christian Matt;author
699;Carsten Kusche;author
700;Bernd J. Hartmann;author
701;Ulrich Stein;author
702;G Biermann;author
703;Jochen von Bernstorff;author
704;Jan Stoppel;author
705;Helmut Philipp Aust;author
706;Achim Janssen;author
707;Jonas C. Schulz;author
708;Korbinian Schrom;author
709;Kathrin Kroll-Ludwigs;author
710;Sebastian Fischer;author
711;Oliver L. Knöfel;author
712;C Anger;author
713;Astrid Stadler;author
714;Jens Puschke;author
715;Arnd Koch;author
716;Gregor Bachmann;author
717;Roland Klattenhoff;author
718;Wolfgang Marotzke;author
719;Carsten Schäfer;author
720;Phillip Hellwege;author
721;Florian Bien;author
722;Ulrich Haas;author
723;Foroud Shirvani;author
724;Thorsten Siegel;author
725;Kerstin Seewald;author
726;Wolfgang Frisch;author
727;Mohamad El-Ghazi;author
728;Anna Flor;author
729;Michael Beurskens;author
730;Christian G. Huber;author
731;Matthias Lehmann;author
732;Eva-Maria Kieninger;author
733;Inge Kroppenberg;author
734;Christoph Görisch;author
735;Heiko Sauer;author
736;Christoph Schärtl;author
737;Wolfgang winkelbauer;author
738;Götz Frank;author
739;Johannes Heyers;author
740;Christian Gomille;author
741;Joachim Goebel;author
742;Michael Rodi;author
743;Alexander von Brünneck;author
744;Karl-Nikolaus Peifer;author
745;Winfried Boecken;author
746;Christoph Luther;author
747;Gloria Berghäuser;author
748;Arne Nordmeyer;author
749;Franz C. Mayer;author
750;Kai Hofmann;author
751;Robert Frau;author
752;Alexander Schäfer;author
753;Günter Reiner;author
754;Ferdinand Kirchhof;author
755;H.C. Fritz Rittner;author
756;Dennis Seifarth;author
757;Peter Georg Picht;author
758;Richard Rachlitz;author
759;Hiram Kümper;author
760;Norbert Wimmer;author
761;Markus Heintzen;author
762;Stefan Machura;author
763;Ronny Hauck;author
764;Harald Meyer;author
765;Jochen Glöckner;author
766;Daniel Wolff;author
767;Anna Bizer;author
768;Wolfgang Ernst;author
769;Hans Michael Heinig;author
770;Klaus Tipke;author
771;Clemens Latzel;author
772;Alisa Rank;author
773;Josef Wittmann;author
774;Alexander Roßnagel;author
775;Gunnar Duttge;author
776;Bernhard Hardtung;author
777;Stephan Wernicke;author
778;Stephan Harbarth;author
779;Constantin Blanke-Roeser;author
780;Cornelia Manger-Nestler;author
781;Martin Zimmermann;author
782;Mustafa Temmuz Oğlakcıoğlu;author
783;Christopher Kämper;author
784;Stefan J. Geibel;author
785;Christian Walter;author
786;Oliver Klein;author
787;Florian Jeßberger;author
788;Annabelle Meier;author
789;Katharina Hilbig;author
790;Ulrich Eisenberg;author
791;Peter Götz v. Olenhusen;author
792;Meinhard Schröder;author
793;Louisa Specht;author
794;Peter Hocke;author
795;Markus Gehrlein;author
796;Hans Peter Bull;author
797;Christian Heinze;author
798;Indra Spiecker gen. Döhmann;author
799;Peter W. Tettinger;author
800;Kurt Faßbender;author
801;Josef Isensee;author
802;Tim Drygala;author
803;Henning Rosenau;author
804;Damian Schmidt;author
805;Jörg Schöpper;author
806;Martin Heckel;author
807;Florian Eichel;author
808;Gerald Spindler;author
809;Christoph Althammer;author
810;Pauline Grotz;author
811;Bernhard Linnartz;author
812;Jan Schapp;author
813;Sven Jürgensen;author
814;Wolfgang Durner;author
815;Jürgen Lorse;author
816;Ehebald;author
817;Alexander Scheuch;author
818;Christoph Zehetgruber;author
819;Stefan Talmon;author
820;Stefan Drechsler;author
821;Jörn Axel Kämmerer;author
822;Jens Bülte;author
823;Stephan Lorenz;author
824;Heiner Alwart;author
825;Renate Schaub;author
826;Joachim Münch;author
827;Bertram Lomfeld;author
828;Heike Krieger;author
829;Sven Simon;author
830;Heinrich Lang;author
831;Marina Wellenhofer;author
832;Markus Lieberknecht;author
833;Rüdiger Wilhelmi;author
834;Heike Schmitz;author
835;Peter Rawert;author
836;Tom Wolk;author
837;Astrid Strack;author
838;Henning Rosenau;author
839;Georg Freund;author
840;Thomas Lobinger;author
841;Caspar Behme;author
842;Michael Schwarz;author
843;Lutz Eidam;author
844;Jürgen Basedow;author
845;Indra Spiecker genannt Döhmann;author
846;Ansgar Ohly;author
847;Michael Anderheiden;author
848;Andreas Kerkemeyer;author
849;Katharina Reus;author
850;Dominik Arndt;author
851;Marco Brand;author
852;Markus Krajewski;author
853;Patrick Nölscher;author
854;Christian Krane;author
855;Norbert Ullrich;author
856;Carsten Jungmann;author
857;Florian Rödl;author
858;Katja Langenbucher;author
859;Sudabeh Kamanabrou;author
860;Heribert Hirte;author
861;Katharina Kaesling;author
862;Michael Coester;author
863;Thorsten Ingo Schmidt;author
864;Helmuth Schulze‐Fielitz;author
865;Christoph Palzer;author
866;Norbert Hoerster;author
867;Franz Jürgen Säcker;author
868;Philipp Lamprecht;author
869;Willy Spannowsky;author
870;Wolfgang Hoffmann-Riem;author
871;Robert Esser;author
872;Karsten Herzmann;author
873;Florian Sander;author
874;Alexander Silke;author
875;Daniel Zimmer;author
876;Renate Schaub;author
877;José Martínez;author
878;Philipp Overkamp;author
879;Stephan Walter;author
880;Detlev Fischer;author
881;Andreas J. Baumert;author
882;Maximilian J. Alter;author
883;Bettina Gausing;author
884;Reinhard Singer;author
885;Lars Hummel;author
886;Pola Marie Brünger;author
887;Michael Goldhammer;author
888;Wolfgang Wurmnest;author
889;Wolfgang Mitsch;author
890;Anne Peters;author
891;Pirmin Herz;author
892;Michael Blomeyer;author
893;Stephan Meder;author
894;Peter Derleder;author
895;Hendrik Heesen;author
896;Tino Frieling;author
897;Jens Puschke;author
898;Florian Huerkamp;author
899;Melanie Stracke;author
900;Johanna Hey;author
901;Michael Heese;author
902;Christina Kamm;author
903;Jochen Mohr;author
904;Marco Bieri;author
905;Alexander Morell;author
906;Anke Müller-Jacobsen;author
907;Andreas W. Hofmann;author
908;Corinna Sicko;author
909;Jens Petersen;author
910;Dieter Grimm;author
911;Eduard Picker;author
912;Peter Hemeling;author
913;Christoph Kirsch;author
914;Bernd Kannowski;author
915;Clemens Höpfner;author
916;Daniela Schmitt;author
917;Christian Waldhoff;author
918;Walter Grasnick;author
919;Eckart Klein;author
920;Claus Wilhelm Canaris;author
921;Gerd Morgenthaler;author
922;Martin Kment;author
923;Ewald Wiederin;author
924;Gerhard Dilcher;author
925;Henning Lorenz;author
926;Klaus-Dieter Drüen;author
927;Andreas Spickhoff;author
928;Michael Fischer;author
929;Matthias Becker;author
930;Josef Ruthig;author
931;Benjamin Lahusen;author
932;Jan Thiessen;author
933;Ulrike Müßig;author
934;Klaus Lüderssen;author
935;Leo Schapiro;author
936;Max-Emanuel Geis;author
937;Christina Globke;author
938;Heinrich Amadeus;author
939;Jean‐Pierre Wolf;author
940;Robert R. Lange;author
941;Victor Habrich;author
942;M. v. Niederhöffer;author
943;Martin Engel;author
944;Johanna Reichel;author
945;Anna Katharina Mangold;author
946;Judit Neumann;author
947;Matthias Rüping;author
948;Julian von Lucius;author
949;Wilhelm Dütz;author
950;Stephan Madaus;author
951;Tobias Kulhanek;author
952;Sönke Gerhold;author
953;Axel Halfmeier;author
954;Reinhard Damm;author
955;Clara Folger;author
956;Jens Kersten;author
957;M. Auer;author
958;J. Meier;author
959;Gertrude Lübbe-Wolff;author
960;Anne Bercher;author
961;Heinz Müller-Dietz;author
962;Hermann Butzer;author
963;Günter Hirsch;author
964;Gerd Geilen;author
965;Martin Wesch;author
966;Susanne Hohloch;author
967;Volker Haas;author
968;M.K. de Wolf;author
969;Ulrich Foerste;author
970;Matthias Lippold;author
971;Hans-Peter Haferkamp;author
972;Eberhard Schwark;author
973;Frank Rosenkranz;author
974;Florian Jeßberger;author
975;David Roth-Isigkeit;author
976;Christoph Krönkeund;author
977;Jan Thiessen;author
978;Barbara Remmert;author
979;Robert Walter;author
980;Sophie Straßer;author
981;Eberhard Wagner;author
982;William Woodruff;author
983;Mattias Wendel;author
984;Christina Mildebrath;author
985;Hans-Heiner Kühne;author
986;Foroud Shirvani;author
987;Daniela K Schlüter;author
988;Daniel Damler;author
989;Hubert Rottleuthner;author
990;Tobias Singelnstein;author
991;Kurt Seelmann;author
992;Katja Hüttner;author
993;Philipp Scholz;author
994;Martin Bialluch;author
995;Nicolas Sander;author
996;Florian Wagner–von Papp;author
997;Andreas Sattler;author
998;Daniel Thym;author
999;Christoph Herrmann;author
1000;Alexander Bechtel;author
1001;Ralph Christensen;author
1002;Gerrit Hornung;author
1003;Klaus Rennert;author
1004;Jürgen Köhler;author
1005;Christian Alexander;author
1006;Felix Ekardt;author
